Alarm ID,Subsystem,Alarm Description,Priority,Status,TimeCounter
ALM-0447,Safety,Emergency Stop Pressed,Critical,Active,447
ALM-0448,TES Tank,TES Level Low,Major,Cleared,448
ALM-0449,IT Cooling,Rack Inlet Temp High,Critical,Cleared,449
ALM-0450,Pumps,Pump Motor Overload,Major,Active,450
ALM-0451,Edge Agent,MQTT Broker Disconnect,Warning,Acknowledged,451
ALM-0452,Sensors,Flowmeter Signal Loss,Warning,Cleared,452
ALM-0453,TES Tank,TES Level Low,Major,Active,453
ALM-0455,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,455
ALM-0456,Edge Agent,OTA Update Failed,Minor,Active,456
ALM-0457,ORC,ORC Overspeed Trip,Critical,Acknowledged,457
ALM-0458,IT Cooling,Rack Inlet Temp High,Critical,Active,458
ALM-0459,Controls,PLC Communication Timeout,Critical,Cleared,459
ALM-0460,Controls,PLC Communication Timeout,Critical,Cleared,460
ALM-0462,IT Cooling,Rack Inlet Temp High,Critical,Active,462
ALM-0463,Controls,PLC Communication Timeout,Critical,Active,463
ALM-0464,Pumps,Pump Motor Overload,Major,Acknowledged,464
ALM-0465,Pumps,Pump Motor Overload,Major,Cleared,465
ALM-0466,TES Tank,TES Top Temp High,Critical,Acknowledged,466
ALM-0467,ORC,ORC Condensing Pressure High,Critical,Active,467
ALM-0468,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,468
ALM-0470,Controls,PLC Communication Timeout,Critical,Acknowledged,470
ALM-0471,Pumps,Pump Motor Overload,Major,Acknowledged,471
ALM-0472,Bypass Cooler,Valve Failed to Open,Major,Active,472
ALM-0473,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,473
ALM-0474,TES Tank,TES Level Low,Major,Acknowledged,474
ALM-0475,IT Cooling,Rack Inlet Temp High,Critical,Cleared,475
ALM-0476,Pumps,Pump Motor Overload,Major,Acknowledged,476
ALM-0477,TES Tank,TES SoC Low,Warning,Active,477
ALM-0478,Pumps,Pump Cavitation Detected (NPSH Low),Major,Active,478
ALM-0479,Sensors,Flowmeter Signal Loss,Warning,Active,479
ALM-0480,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,480
ALM-0481,ORC,Working Fluid Low Level,Major,Active,481
ALM-0482,TES Tank,TES SoC Low,Warning,Active,482
ALM-0483,Solar Loop,HTF Over-Temperature,Major,Cleared,483
ALM-0484,Bypass Cooler,Valve Failed to Open,Major,Acknowledged,484
ALM-0485,Controls,PLC Communication Timeout,Critical,Acknowledged,485
ALM-0486,TES Tank,TES Stratification Loss,Warning,Active,486
ALM-0487,TES Tank,TES Stratification Loss,Warning,Active,487
ALM-0488,ORC,Working Fluid Low Level,Major,Cleared,488
ALM-0489,TES Tank,TES Level Low,Major,Active,489
ALM-0490,IT Cooling,Rack Inlet Temp High,Critical,Active,490
ALM-0491,Sensors,Flowmeter Signal Loss,Warning,Active,491
ALM-0492,TES Tank,TES SoC Low,Warning,Cleared,492
ALM-0493,Sensors,Flowmeter Signal Loss,Warning,Cleared,493
ALM-0494,Controls,PLC Communication Timeout,Critical,Acknowledged,494
ALM-0496,Bypass Cooler,Valve Failed to Open,Major,Cleared,496
ALM-0497,Safety,Emergency Stop Pressed,Critical,Active,497
ALM-0498,ORC,ORC Overspeed Trip,Critical,Cleared,498
ALM-0499,TES Tank,TES Stratification Loss,Warning,Cleared,499
ALM-0500,IT Cooling,Rack Inlet Temp High,Critical,Acknowledged,500
